User Language,"Please answer 13 questions about one of your classes this fall. 
1.  What college are you attending?","2.  What class you are taking?  
     (Please choose one. If you like, you can do the survey again for another class.)",3.  Is this class on campus (in person) or online?,4.  Instruction is at the right level for me in this class.,5.  The pace of this class is okay for me.,6.  How does the teacher of this class help you learn?       Choose the answers that are true for you.,7.  What other things does the teacher do to help you learn?,8.  The teacher helps me to feel welcome in this class.,9.  The teacher of this class speaks to all students with respect.,"13.  I would recommend this class to a friend,",10.  The books and materials for this class are at the right level for me.,11.  I have access to the books and materials I need for this class.,"12. My teacher has given me information about student support services, such as tutoring, the wellness center, academic advising, and career planning.","13.  I would recommend this class to a friend,","You selected ""no"" when asked if you would recommend this class to a friend.  Please tell us why not.",,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.","Siempre nos trata con mucho respeto , y ademas tiene una sonrisa para nosotros",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.",Culture and insight,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),online,no - too difficult,yes,The teacher helps me learn how to use Zoom.,Se centra en mi para que yo comprenda ya que no sÃ© nada de inglÃ©s y quiero aprender ,always,always,yes,yes,no,no,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),online,yes,no - too slow,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",Nos explica los usos de verbos en la cotidianidad y trata de que todos entendamos ,always,always,yes,no - too easy,no,not sure,yes,,,,,,,,,,,,,
EN,Daley College,Math,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.",M.s Victoria explains everything extremely well ,always,always,yes,yes,no,yes,yes,,,,,,,,,,,,,
ES,Daley College,Math,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",Explica las veces necesarias hasta que estemos entender,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",Hablar y preguntar constantemente a los alumnos y hacer que todos participemos,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,Corregir pronunciaciÃ³n ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),online,yes,yes,"The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.","My teacher, Mrs Satoy Nakanishi is very professional, i like how she does the class, i am very happy with her. I learned a lot with her. Thanks",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Kennedy-King College,Test Taking Skills,on campus (in person),no - too difficult,yes,The teacher helps me understand the materials.,Help me getting my GED,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps me understand the materials.,Apoya su clase con recursos virtuales,sometimes,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
ES,Wright College,Math,online,yes,yes,The teacher helps me understand the materials.,El maestro es muy paciente y me explica todo lo que no entiendo es un excelente maestro ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,Career Foundations,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Brightspace.","The teacher teaches me how to search things up correctly, teaches me where to go and what to do if I have technical issues, teaches me more in depth about my career.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Kennedy-King College,Bridge,on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",Nothing,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.",My teacher is the best,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps me understand the materials.,He is always available to clarify any questions.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps me understand the materials.,Nos da muchos ejemplos sobre el tema que estamos viendo ademÃ¡s de ponernos videos donde nos expliquen un poco mas,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.","hi,
The Teacher is very patient with us and she always take time to explain every thing to us.. she knows how to articulate the words when she's speaking to us...she is very good at it. she a revelent teacher",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,Math,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",The teacher helps me by giving me all the knowledge he knows by practicing,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",Paciencia ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,Math,online,yes,yes,The teacher helps me understand the materials.,Help me with everything very good ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.", MotivaciÃ³n ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps to make the books and materials interesting.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.","Mi profesora me ayuda con textos para leer, escribir y comprender.
",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Olive-Harvey College,Math,online,yes,yes,"The teacher helps me understand the materials.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.",Anything that i need help with,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.",My teacher helps me to talking freely and encouraging me to participate in the class.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.",Learn English ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Kennedy-King College,Language Arts,online,yes,yes,The teacher helps to make the books and materials interesting.,"I'm trying to register for spring classes, because due to me not being able to gain access to a laptop. I had to drop my classes. So now I'm trying to get back into my classes now ",always,always,yes,yes,no,not sure,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),on campus (in person),no - too easy,no - too slow,The teacher helps me learn how to take tests.,"Clase poco dinÃ¡mica y muy repetitiva, la profesora no se esfuerza por transmitir conocimientos. ",never,always,no,no - too easy,yes,not sure,no,"La clase es poco dinÃ¡mica, la profesora solo nos mantiene repitiendo oraciones, solo se enfoca en la pronunciaciÃ³n durante las clases y no explica cÃ³mo usar modismos, emplear verbos, manejar tiempos, mantiene a la clase 40 min repitiendo lo mismo, no hay aveces y en lo personal siento que no estoy aprendiendo nada que me pueda ser Ãºtil para la vida dirÃ­a. ",,,,,,,,,,,,
EN,Malcolm X College,Math,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.",No comment.,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",Nos ayuda a practicar para escribir rÃ¡pido en la compu,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,Math,online,yes,yes,"The teacher helps me understand the materials.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.",Gave clear and detailed explanation of the material. Regular homework for practice.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.",Me da informaciÃ³n de influencers de YouTube que imparten clases de inglÃ©s ,always,always,yes,yes,sometimes,not sure,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.","Me ayuda a entender el idioma inglÃ©s lo hace didÃ¡ctico hace conversaciones, nos dice palabras de uso diario en el idioma inglÃ©s y su significado en inglÃ©s. ",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Olive-Harvey College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.","Muy buena maestra, no  es complicado entender las clases.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,Citizenship,online,no - too easy,yes,The teacher helps me learn how to take tests.,Explain with using other words. ,always,always,yes,yes,sometimes,yes,yes,,,,,,,,,,,,,
EN,Wright College,Math,online,yes,no - too fast,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,"My Math class is on Tuesdays for 1 1/2 hours via zoom. I would like to mentioned that the teacher needs to teach some type of virtual meeting etiquette. Vs having everyone shout out answers and speaking over each other. I also, believe that the teacher needs to make her self more available for example if I donâ€™t understand something it would be nice if she can make sometime during the week out side of the virtual class to help me. Zoom meetings should also be recorded as it would be helpful to go back and view it if I feel I am struggling with assignment.",always,always,yes,yes,yes,no,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.","The teacher learn me many about life in USA, how to choose a career, personal financial life, budget. Methodology to prepare and present an essay. Grammar, verb/tense. Method of work in pairs or student groups. Many or others things relative to level 7th, my level. She is really competent for teaching this level. ",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.",La maestra es sÃºmante compresible y nos da las herramientas necesarias para aprender el inglÃ©s ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",Homework,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,The teacher helps me learn how to use Zoom.,"Encuestas, lectura  escritura ",sometimes,always,yes,yes,no,no,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,no - too easy,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.","He is really friendly and all the class is really interesting,  he keeps my attention in the class with facility. ",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Kennedy-King College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.",Help with tutoring ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),online,no - too difficult,no - too fast,The teacher helps me understand the materials.,ThÃ© teacher help me learn how to spell the words ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,Math,online,yes,yes,"The teacher helps me understand the materials.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.",How to fill out any college forms for classes. He also lets us know about up coming things we need to prepare for.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,Language Arts,on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.","Ejemplos, oraciones ",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,Language Arts,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.",She is very professional so she always help on any questions ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Olive-Harvey College,Bridge,online,yes,yes,The teacher helps me understand the materials.,Me ayuda a comprender mis dudas que tengo ,always,always,yes,yes,sometimes,yes,yes,,,,,,,,,,,,,
EN,Wright College,Math,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.","Always encourages us to ask questions, makes himself available at all times and explains things very clear, has a sense of humor and makes class feel so comfortable. ",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",Hace la clase muy dinÃ¡mica y con pedagogÃ­a me gusta mucho y lo mÃ¡s importante que se me hace fÃ¡cil el aprendizaje. Gracias ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Kennedy-King College,Math,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.",N/A,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,Math,online,yes,yes,The teacher helps me learn how to take tests.,Explica con claridad,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,The teacher helps to make the books and materials interesting.,Send us some link for more practice ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,Math,online,yes,yes,"The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",She takes her time with me and others,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Wright College,Math,online,yes,yes,"The teacher helps me understand the materials.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.",.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),on campus (in person),no - too difficult,yes,The teacher helps to make the books and materials interesting.,Formar grupos de tres para practicar las palabras en inglÃ©s o oraciones ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),online,yes,no - too fast,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.",Helps us work as a team,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps me understand the materials.,He helps me in vocabulary ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,Math,on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.",Ejemplos ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,Math,online,yes,no - too fast,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",Mucho  enpeÃ±o en su trabajo ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",Nos explica cuando no entendemos algo ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.",English,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,Math,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.",Takes his time with everyone and explain any questions we have very good with people,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),on campus (in person),no - too easy,no - too slow,The teacher helps to make the books and materials interesting.,Nos explica si no entendimos y tambiÃ©n nos pone audios para practicar la pronunciaciÃ³n.,always,always,yes,no - too easy,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",The teachers very good and he almost have skills â€¦ I really love the teachers ,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to take tests.","usamos paginas web, actividades didacticas y toda la clase participa",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Olive-Harvey College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps me understand the materials.,My teacher helped me learn English ,always,always,yes,yes,yes,no,yes,,,,,,,,,,,,,
EN,Wright College,Test Taking Skills,online,yes,yes,"The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.","She is very understanding, and likes to help out in any way or form she can. ",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",USA contextos diferentes y cotidianos ,sometimes,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.","Ella es muy dedicada a cada estudiante, nos ayuda siempre a mejorar nuestra escritura, lectura y escucha.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,The teacher helps to make the books and materials interesting.,"He tenido 2 maestras muy excelentes, Ms.Gibson su dedicaciÃ³n y paciencia en la enseÃ±anza me ayudo a prestar mÃ¡s atenciÃ³n en la pronunciacion. MS. Tovar muy dinÃ¡micas sus clases .",always,always,yes,yes,sometimes,not sure,yes,,,,,,,,,,,,,
EN,Malcolm X College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.",The teachers explain difficult things show us new vocabulary ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Olive-Harvey College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",Se sienta a explicarme y coregir mis errores,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",Suggesting books and movies to learn ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps me understand the materials.,Me hace practicar las palabras que no me salen totalmente ,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Kennedy-King College,Math,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.",None,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.","English grammar 
I enjoy Mr. Max class he explain thins very well.",always,always,yes,yes,yes,no,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",Repasamos los ejercicios.,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Wright College,Language Arts,online,yes,yes,The teacher helps me understand the materials.,"Motivates me, opens my mind to other opportunities.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),on campus (in person),no - too easy,no - too slow,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,"Basically nothing. The formula of our class was that the teacher gave us exercises, we solved them ourselves, and at the end he just gave his answers. ",sometimes,sometimes,no,no - too easy,sometimes,no,no,"It is what I said earlier: ""The formula of our class was that the teacher gave us exercises, we solved them ourselves, and at the end he just gave his answers."" 

It is the same as I would have find some exercises online and would do them myself. ",,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",Nos hace mucha platica para poder soltarnos mÃ¡s al hablar inglÃ©s ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Malcolm X College,Language Arts,online,yes,yes,The teacher helps me understand the materials.,My instructor helps me with tasks needed to complete assignments the correct way.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,promueve la conversaciÃ³n,sometimes,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,Bridge,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to take tests.",The teacher explains me clearly my assignments and topics.,always,always,yes,no - too easy,no,yes,yes,,,,,,,,,,,,,
ES,Wright College,Bridge,online,no - too difficult,yes,The teacher helps me learn how to use Brightspace.,su materia,sometimes,always,yes,yes,sometimes,not sure,yes,,,,,,,,,,,,,
ES,Olive-Harvey College,Language Arts,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.","Pues su paciencia ,la explicaciÃ³n en cada tema yque es muy organisada.es muy excelente maestra.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,Math,online,yes,yes,"The teacher helps me understand the materials.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.",Explains material in detail and helps with homework,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,Language Arts,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to take tests.",Helps improve my writing skills. ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps to make the books and materials interesting.,"Explicar varias veces, hasta quÃ© comprendo lo que se trata.",always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Wright College,Bridge,online,yes,yes,The teacher helps me understand the materials.,ensenar mas matematicas,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.",He is very open with helping whatever I need.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.","Everything is fine for me.
Thank you.",always,always,yes,yes,sometimes,yes,yes,,,,,,,,,,,,,
EN,Malcolm X College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,Learn English ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",ParticipaciÃ³n del estudiante en clase. Mejoras y explicaciÃ³n de la pronunciaciÃ³n del idioma. ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",Excelente teacher she helps with everything need it to learn and beyond.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps me understand the materials.,"Videos, audios ",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,Computer Skills,online,yes,yes,The teacher helps me understand the materials.,Everything is fine.,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,"Ejemplos, ejercicios, videos, lecturas, bastante vocabulario y mucha pronunciaciÃ³n.",always,always,yes,yes,yes,no,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",Me ayuda cuando tengo una duda..,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),on campus (in person),no - too difficult,yes,The teacher helps me understand the materials.,Despeja mis dudas por simples que sea y avanza al par mia y corrige tanta escritura pronunciation y explica todo perfectamente,always,always,yes,yes,yes,no,yes,,,,,,,,,,,,,
ES,Olive-Harvey College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps to make the books and materials interesting.,Una gran dedicaciÃ³n y entusiasmo ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.",Dedica mÃ¡s tiempo si es necesario ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
